MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction
mof_11732	47.18632	43.91308	728.234	7366.76	0.86748
mof_11733	19.11212	17.82315	1671.13	3980.2	0.5839
mof_11734	18.14152	16.92526	1619.0	3493.49	0.55582
mof_11735	23.13501	21.56853	1530.41	3988.4	0.63882
mof_11736	24.75373	23.31825	1353.49	3415.5	0.60892
mof_11737	19.44241	18.64066	1568.62	3741.49	0.56818
mof_11738	22.97599	20.73436	1606.82	3855.38	0.58152
mof_11739	16.43445	15.1881	1366.44	1743.21	0.4385
mof_1173	44.1846	42.84242	1080.45	4543.06	0.77096
mof_11740	23.59562	22.04783	1537.94	4204.75	0.6047
mof_11741	24.49886	23.11211	1432.04	3758.74	0.61028
mof_11742	26.27844	24.93107	1491.1	4561.04	0.6488
mof_11743	25.69311	24.50102	1463.44	4231.11	0.6645
mof_11744	27.46984	26.47486	1379.4	5126.0	0.69864
mof_11745	25.351	24.19844	1406.92	5183.72	0.69182
mof_11746	30.34386	29.38319	1239.3	5397.34	0.7454
mof_11747	30.40207	28.8609	1249.56	5165.28	0.7263
mof_11748	30.65512	28.77939	1220.16	4853.8	0.73762
mof_11749	33.50649	31.66181	1188.2	5790.44	0.75902
mof_1174	41.02744	39.19503	1248.61	4566.06	0.71264
mof_11750	17.63978	16.37666	1480.75	2736.52	0.51062
mof_11751	33.75517	32.12618	1159.52	5685.82	0.76142
mof_11752	33.21405	31.13353	1119.92	5302.57	0.76452
mof_11753	34.76743	32.88809	1127.98	5355.64	0.75918
mof_11754	35.93292	33.5611	1064.67	5498.49	0.77394
mof_11755	36.95612	34.77385	1025.97	5731.1	0.78644
mof_11756	35.62195	33.59417	1018.59	5531.97	0.78654
mof_11757	37.22263	34.8464	989.223	5123.55	0.8
mof_11758	37.51941	35.36037	942.498	6249.79	0.81892
mof_11759	35.65437	33.94241	1040.76	5616.48	0.78132
mof_1175	44.73482	43.44575	1172.54	5088.37	0.76138
mof_11760	38.5022	36.93017	961.438	6287.31	0.80928
mof_11761	22.67101	21.38108	1385.92	3283.21	0.588
mof_11762	37.7633	36.6168	923.512	5898.64	0.81986
mof_11763	38.54692	35.74792	1031.29	5422.34	0.76586
mof_11764	39.44467	37.69184	1004.93	6467.64	0.80942
mof_11765	39.16497	37.2569	996.775	6379.36	0.80494
mof_11766	42.015	39.57217	887.606	6396.35	0.82674
mof_11767	41.80027	39.26291	861.863	6019.24	0.83532
mof_11768	41.02986	38.281	886.465	5781.51	0.81736
mof_11769	40.01153	37.38337	893.925	6426.25	0.82744
mof_1176	45.62057	43.8114	1146.36	4946.02	0.75686
mof_11770	40.03533	39.10245	879.828	6357.99	0.82892
mof_11771	43.24145	40.84534	827.477	6292.27	0.83474
mof_11772	23.4683	22.64058	1430.64	3667.88	0.6125
mof_11773	41.83019	39.70051	848.089	6205.8	0.83274
mof_11774	44.32458	41.17491	817.102	6474.05	0.8416
mof_11775	44.65419	41.47066	776.557	5804.33	0.85296
mof_11776	46.92908	44.25943	729.022	6423.97	0.85616
mof_11777	48.66686	44.81571	711.713	6138.89	0.86156
mof_11778	47.89387	44.44169	690.752	5601.6	0.86754
mof_11779	51.16519	47.21709	645.078	6959.03	0.87898
mof_1177	45.29418	43.82532	1068.58	5095.79	0.7822
mof_11780	51.31229	49.34559	652.665	7078.43	0.878
mof_11781	21.24041	19.59428	1568.65	3875.37	0.59552
mof_11782	18.98818	17.65366	1516.94	3421.68	0.56826
mof_11783	17.65893	17.03511	1649.37	3892.29	0.59326
mof_11784	25.07121	23.71302	1451.8	3787.49	0.60822
mof_11785	21.82442	19.32557	1452.14	3605.66	0.58552
mof_11786	23.97953	22.22673	1397.2	3436.52	0.5929
mof_11787	19.4083	18.19834	1821.64	3639.08	0.5057
mof_11788	30.4706	29.15509	1334.82	5139.23	0.69436
mof_11789	29.99811	28.14215	1300.4	4753.86	0.6889
mof_1178	46.20852	44.8878	1044.84	4852.55	0.79242
mof_11790	32.21741	30.47593	1270.29	5437.29	0.72536
mof_11791	31.45131	29.58003	1258.13	5095.1	0.73712
mof_11792	32.46057	31.02205	1200.5	5950.79	0.75212
mof_11793	33.29182	31.23921	1184.76	6012.65	0.75688
mof_11794	34.72545	32.80311	1067.51	6245.62	0.791
mof_11795	37.13399	35.50876	1075.26	5897.98	0.77938
mof_11796	35.85952	34.01948	1074.5	5553.64	0.78236
mof_11797	39.45454	37.38404	997.558	6519.82	0.80632
mof_11798	19.7694	18.68069	1710.2	4749.45	0.61784
mof_11799	39.54379	37.1605	993.235	6426.86	0.8048
mof_1179	47.88156	45.74045	1030.56	4558.57	0.76842
mof_117	9.2695	6.78852	2689.93	5324.35	0.3694
mof_11800	34.64051	31.5892	987.163	5868.86	0.79962
mof_11801	41.86697	40.63576	950.75	5990.36	0.80808
mof_11802	42.82108	40.91695	902.26	6164.09	0.81842
mof_11803	44.24682	41.53523	868.197	6346.35	0.82486
mof_11804	42.92259	40.81972	859.995	6189.65	0.82912
mof_11805	43.75381	41.02078	838.399	5720.65	0.83696
mof_11806	42.44349	39.86902	818.543	7048.11	0.84796
mof_11807	38.64073	37.525	923.217	6220.38	0.815
mof_11808	44.28698	42.48115	828.568	6979.63	0.84164
mof_11809	25.95356	25.16033	1481.49	4999.23	0.66684
mof_1180	45.55374	43.48737	1081.18	5198.19	0.78434
mof_11810	42.85286	40.51434	807.215	6480.47	0.8451
mof_11811	43.02012	41.7597	949.187	6555.02	0.8099
mof_11812	46.13749	43.99818	870.633	7221.02	0.84082
mof_11813	46.79131	43.84978	872.681	7200.18	0.83846
mof_11814	46.49146	44.01318	796.337	7350.62	0.85502
mof_11815	47.09893	44.09181	759.393	6806.2	0.8627
mof_11816	47.70868	45.61272	762.415	6306.0	0.84806
mof_11817	47.62264	44.99011	755.524	7094.63	0.85986
mof_11818	47.11885	44.02553	757.821	7028.18	0.85738
mof_11819	49.98873	47.35753	708.235	6880.61	0.86216
mof_1181	47.26063	46.08693	998.536	4810.93	0.78842
mof_11820	27.04771	25.68636	1474.57	5377.02	0.6885
mof_11821	49.22688	46.70034	725.13	6786.44	0.86192
