MOF	LCD	PLD	Vol_SA	Grav_SA	Void_fraction
EFOSUO_clean	5.23309	4.44144	2796.46	1251.23	0.17882
EFOTAV_clean	5.43531	4.50362	2921.16	1335.4	0.19642
EFOTEZ_clean	5.06643	4.39448	2878.05	1075.2	0.16238
EFOTID_clean	5.17106	4.13348	2419.29	803.566	0.13742
EGAFOJ_clean	5.4475	3.328	1139.73	790.132	0.0689
EGAFUP_clean	5.41211	3.36037	1154.22	787.319	0.06944
EGAGAW_clean	5.3614	3.39372	1186.49	787.236	0.06874
EGAGEA_clean	5.34124	3.39236	1208.74	790.988	0.0702
EGATAI_clean	7.25975	4.31318	2626.94	2737.79	0.21578
EGATEM_clean	10.25144	8.68741	1602.96	1890.35	0.25056
EGATIQ_clean	10.61507	9.35673	1705.14	2089.81	0.27026
EGATOW_clean	5.96917	5.11285	2179.88	1804.3	0.17088
EGEHOO_charged	9.43184	6.31093	1688.99	1366.54	0.21968
EGEJIK_manual	10.26084	8.70015	2255.8	3314.61	0.36474
EGELUY01_manual	7.46224	7.0558	1767.56	1865.71	0.2038
EGELUY_SL	7.32559	6.86607	1785.47	1878.58	0.20138
EGIFUV_clean	9.74551	8.51622	1374.34	1314.6	0.23924
EGOXII_clean	5.25614	3.66279	1167.03	673.62	0.05648
EGOZAB_clean	7.0311	5.28936	2145.73	2066.51	0.15262
EGUNAX_clean	3.81467	3.01234	0.0	0.0	0.01538
EHAFEA_clean	5.41079	3.41231	1326.78	597.493	0.071
EHAFIE_clean	5.56485	3.57227	1505.47	729.741	0.0852
EHAFOK_clean	5.56183	3.59241	1503.55	726.13	0.08442
EHAFUQ_clean	5.5462	3.57781	1483.97	710.238	0.0831
EHAGAX_clean	5.47293	3.47311	1421.55	666.038	0.0771
EHAGEB_clean	5.47507	3.4761	1420.98	665.157	0.07658
EHAGIF_clean	5.44616	3.48144	1405.13	645.206	0.07636
EHAGOL_clean	5.39044	3.4677	1393.98	641.58	0.07416
EHAGUR_clean	5.37684	3.40531	1314.42	597.95	0.07034
EHALOP_manual	7.57594	7.11735	1820.1	1938.32	0.2087
EHEKUY_clean	6.18029	3.5251	988.711	768.221	0.05154
EHIHOU_clean	3.45946	2.71305	0.0	0.0	0.0
EHIPOC_clean	4.96443	3.71594	877.692	578.246	0.04066
EHODOV_SL	6.30224	4.66761	1532.97	1347.26	0.14082
EHUCOA_clean	5.17903	3.25891	1360.88	1385.15	0.07526
EJAXIW_clean	6.39565	4.30182	2041.47	2165.99	0.13916
EJEFOP_clean	4.0642	2.84987	0.0	0.0	0.01104
EJEGOQ_clean	13.1275	3.17537	1400.22	468.219	0.17472
EJETAQ_clean	12.53345	9.36877	1995.65	2964.25	0.46222
EJIDUW01_clean	4.24244	3.3869	966.405	620.127	0.0317
EJIDUW02_clean	4.29785	3.46947	1142.88	742.844	0.03926
EJONOH_clean	4.44167	3.60442	822.783	556.164	0.03512
EJOQOL_clean	7.54682	4.16239	1550.13	1200.86	0.14356
EJOQUR_clean	11.95194	5.10518	2057.41	2220.5	0.32136
EJORAY_clean	4.91477	3.6019	1818.87	1358.48	0.08372
EJOZOU_clean	6.49751	6.10381	876.611	694.312	0.08162
EJULUS_clean	5.35074	2.53066	0.0	0.0	0.0
EJUVOU_clean	3.96956	2.94299	0.0	0.0	0.01474
EKARUE_clean	4.2283	3.20781	375.138	241.604	0.01394
EKEQIV_clean	5.23981	3.45461	933.091	456.414	0.05076
EKETOF_clean	4.41106	3.42867	426.621	260.446	0.0176
EKETUL_clean	4.43428	3.43441	430.784	261.698	0.01804
EKEVAT_clean	4.38581	3.45093	412.937	241.883	0.01752
EKIDEH_clean	5.83216	5.4959	904.614	374.183	0.07428
EKIDIL_clean	5.81547	5.58073	918.032	357.896	0.07374
EKIGIQ_clean	4.47438	2.65851	0.0	0.0	0.0
EKIGOW_clean	4.32383	2.60267	0.0	0.0	0.0
EKIJAL_clean	3.0892	2.45716	0.0	0.0	0.0
EKIJEP01_clean	2.89097	2.48262	0.0	0.0	0.0
EKIJEP_clean	2.86618	2.45456	0.0	0.0	0.0
EKOKIA_clean	6.37814	3.95219	1568.48	1117.27	0.10308
EKOPEA_clean	5.53957	5.19564	1699.59	1407.64	0.13794
EKOPIE_clean	6.61542	5.14354	2147.71	1767.29	0.17986
EKOPOK_clean	7.61675	7.30447	1405.95	1129.32	0.15218
