MOF	LCD	PLD	Vol_SA	Grav_SA	Void_fraction	0.0	0.1	0.2	0.30000000000000004	0.4	0.5	0.6000000000000001	0.7000000000000001	0.8	0.9
ADODOO_clean	5.9443	5.31331	1149.01	892.114	0.08882	0.0	0.0376275510204081	0.0280612244897959	0.0121173469387755	0.0089285714285714	0.0076530612244897	0.0076530612244897	0.0019132653061224	0.0057397959183673	0.8903061224489799
ADODUU_clean	5.93337	5.29096	1154.47	877.431	0.0882	0.0	0.0395408163265306	0.0267857142857142	0.0108418367346938	0.010204081632653	0.0051020408163265	0.0089285714285714	0.0038265306122448	0.0038265306122448	0.8909438775510207
ADOGEH_clean	12.71447	5.05258	2174.52	2132.07	0.28614	0.001820664542558	0.0091033227127901	0.0883022303140646	0.1372325898953118	0.042558033682294	0.0109239872553481	0.0109239872553482	0.0054619936276741	0.0163859808830223	0.6772872098315886
ADUROI_clean	25.68553	17.12424	1289.52	3203.24	0.63786	0.0	0.0	0.0065919999999999	0.206464	0.4163840000000001	0.0088319999999999	0.006144	0.004992	0.00576	0.3448320000000001
ADUWIH_clean	9.28386	6.55138	2210.94	3061.73	0.29698	0.0	0.0	0.0751314800901577	0.1893313298271976	0.0240420736288504	0.0180315552216378	0.0090157776108189	0.0090157776108189	0.0135236664162284	0.6619083395942902
ADUWON_clean	16.37538	5.99724	2456.09	4711.95	0.39854	0.0	0.0	0.0873333333333333	0.182962962962963	0.1071851851851852	0.0177777777777777	0.0128888888888888	0.0142222222222222	0.0035555555555555	0.5740740740740742
AFEDIA_clean	3.38958	2.56247	0.0	0.0	0.0	0.0	0.0	0.0	0.0015384615384615	0.0	0.0015384615384615	0.003076923076923	0.0015384615384615	0.0	0.9923076923076926
AFEJOK_ion_b	5.99825	5.12689	1800.37	1634.77	0.1483	0.0	0.0080688542227003	0.0952124798278644	0.0306616460462614	0.0107584722969338	0.0069930069930069	0.0301237224314147	0.0075309306078536	0.0010758472296933	0.8095750403442713
AFENEE_clean	4.49346	3.41581	1038.0	831.028	0.0422	0.0035419126328217	0.012396694214876	0.0035419126328217	0.0106257378984651	0.0059031877213695	0.0023612750885478	0.0023612750885478	0.0047225501770956	0.0023612750885478	0.952184179456907
AFIPAH_clean	4.37538	3.90569	1007.95	548.142	0.04698	0.0	0.0070546737213403	0.0211640211640211	0.0105820105820105	0.0141093474426807	0.0035273368606701	0.0035273368606701	0.0141093474426807	0.0035273368606701	0.9223985890652558
AFITEP_clean	4.64022	4.09997	1650.08	1543.16	0.08438	0.0014005602240896	0.0238095238095238	0.0308123249299719	0.0238095238095238	0.0126050420168067	0.0056022408963585	0.0042016806722689	0.0028011204481792	0.0084033613445378	0.8865546218487397
AFITUF_clean	7.14066	5.08524	1502.01	1135.43	0.11744	0.0	0.0094752186588921	0.0592808551992225	0.032069970845481	0.0155490767735665	0.0089893100097181	0.010689990281827	0.0072886297376093	0.0048590864917395	0.8517978620019437
AFIXAO_clean	6.3306	4.52097	1416.13	1261.89	0.11452	0.0	0.009645061728395	0.0503472222222222	0.0326003086419753	0.0119598765432098	0.0100308641975308	0.0081018518518518	0.0100308641975308	0.0054012345679012	0.8618827160493829
AFIXES_clean	6.43864	4.7481	1417.34	1259.03	0.1196	0.0	0.0100308641975308	0.0476466049382715	0.0391589506172839	0.0127314814814814	0.009645061728395	0.0069444444444444	0.0065586419753086	0.0054012345679012	0.8618827160493829
AFOQUI_clean	4.25157	3.00568	0.0	0.0	0.0193	0.0	0.0040221216691804	0.0055304172951231	0.0065359477124183	0.0095525389643036	0.0010055304172951	0.0060331825037707	0.004524886877828	0.0030165912518853	0.9597787833081952
AFOTOF_clean	8.7931	6.77287	1725.38	1605.91	0.2292	0.0	0.0059523809523809	0.094047619047619	0.1053571428571428	0.0101190476190476	0.0160714285714285	0.0083333333333333	0.0095238095238095	0.0053571428571428	0.7452380952380955
AFOTUL_clean	8.80212	6.81408	1747.78	1649.34	0.23298	0.0	0.0041666666666666	0.0946428571428571	0.1071428571428571	0.0119047619047619	0.0172619047619047	0.0077380952380952	0.0077380952380952	0.0095238095238095	0.7398809523809526
AFOVAT_clean	8.32882	6.54754	1736.11	1668.11	0.22208	0.0	0.0063775510204081	0.0816326530612244	0.1186224489795918	0.0082908163265306	0.0044642857142857	0.0082908163265306	0.0082908163265306	0.0082908163265306	0.7557397959183675
AFOVEX_clean	8.81515	6.86051	1751.8	1713.98	0.23524	0.0	0.0041666666666666	0.088095238095238	0.1142857142857143	0.0160714285714285	0.0148809523809523	0.0059523809523809	0.0119047619047619	0.0029761904761904	0.7416666666666669
AFOVIB_clean	8.79334	6.74118	1727.7	1578.09	0.22848	0.0	0.0053571428571428	0.0922619047619047	0.106547619047619	0.0119047619047619	0.0142857142857142	0.0071428571428571	0.0095238095238095	0.006547619047619	0.7464285714285717
AFOVOH_clean	8.78847	6.84598	1733.75	1654.08	0.2303	0.0	0.006547619047619	0.0892857142857142	0.1083333333333333	0.013095238095238	0.0142857142857142	0.0095238095238095	0.0107142857142857	0.0041666666666666	0.7440476190476193
AFOYAW_clean	5.94533	4.22739	2132.82	2180.53	0.1356	0.0	0.0081929904415111	0.0732817478379608	0.0254893035958124	0.0182066454255803	0.0163859808830222	0.0054619936276741	0.0072826581702321	0.0063723258989531	0.8393263541192537
